time,uptime,CPU1,CPU2,CPU3,CPU4,RAM,SWAP,EMC,IRAM,GPU,APE,APE_MASTER,NVDEC,NVENC,NVJPG,SE,VIC03,Fan tegra_pwmfan0,Temp AO,Temp CPU,Temp GPU,Temp PLL,Temp thermal,Power thermal,Power TOT,jetson_clocks,nvp model
2024-06-05 13:16:31.216604,0:50:35.790000,52,31,11,23,0.5790161745959806,0.14104093650907185,0,0.0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,31.372549019607842,51.5,48.5,45.0,45.0,47.0,117,3045,OFF,MAXN
2024-06-05 13:16:31.490346,0:50:36.790000,9,8,13,94,0.578766362448791,0.14103712180816824,0,0.0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,31.372549019607842,52.0,48.5,45.0,45.0,46.75,39,2967,OFF,MAXN
2024-06-05 13:16:32.491438,0:50:37.790000,9,6,5,100,0.5787959844425289,0.1410361681329423,0,0.0,19.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,31.372549019607842,51.5,48.5,45.0,45.0,46.25,117,3045,OFF,MAXN
2024-06-05 13:16:33.492072,0:50:38.800000,52,50,28,13,0.5787999340416939,0.1410352144577164,0,0.0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,31.372549019607842,51.5,49.0,45.0,45.0,47.0,39,2967,OFF,MAXN
2024-06-05 13:16:34.494163,0:50:39.800000,47,27,25,20,0.5788878126231164,0.1410342607824905,0,0.0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,31.372549019607842,51.5,48.5,45.0,45.0,48.25,39,3006,OFF,MAXN
2024-06-05 13:16:35.493793,0:50:40.800000,30,25,23,100,0.5789134850176892,0.1410323534320387,0,0.0,0.8,OFF,OFF,OFF,OFF,OFF,OFF,OFF,31.372549019607842,51.5,49.0,45.0,45.0,46.75,78,3006,OFF,MAXN
2024-06-05 13:16:36.494563,0:50:41.800000,72,89,26,28,0.5822953293027674,0.1410266313806833,0,0.0,2.3,OFF,OFF,OFF,OFF,OFF,OFF,OFF,31.372549019607842,52.0,49.0,45.0,45.0,46.75,77,3463,OFF,MAXN
2024-06-05 13:16:37.510958,0:50:42.800000,17,91,81,26,0.5839620601504205,0.1410256777054574,0,0.0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,31.372549019607842,51.5,49.0,45.0,45.0,46.75,38,3878,OFF,MAXN
2024-06-05 13:16:38.591116,0:50:43.800000,98,100,100,100,0.5864749926191866,0.1410247240302315,0,0.0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,31.372549019607842,53.0,51.5,45.5,46.5,48.0,38,4631,OFF,MAXN
2024-06-05 13:16:39.510790,0:50:44.800000,100,100,100,100,0.5881209880712231,0.1410247240302315,0,0.0,2.3,OFF,OFF,OFF,OFF,OFF,OFF,OFF,31.372549019607842,53.0,52.0,46.0,46.5,48.75,77,4484,OFF,MAXN
2024-06-05 13:16:40.504507,0:50:45.800000,100,100,100,100,0.5907741313103486,0.1410247240302315,0,0.0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,31.372549019607842,53.0,51.5,46.0,47.0,48.75,38,5090,OFF,MAXN
2024-06-05 13:16:41.506685,0:50:46.800000,100,100,100,100,0.5963420787332846,0.1410247240302315,0,0.0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,31.372549019607842,53.0,51.5,46.0,47.0,48.75,38,5022,OFF,MAXN
2024-06-05 13:16:42.508212,0:50:47.800000,100,100,100,100,0.6020295015309634,0.1410247240302315,0,0.0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,31.372549019607842,53.0,52.0,46.5,47.0,49.0,76,5060,OFF,MAXN
