time,uptime,CPU1,CPU2,CPU3,CPU4,RAM,SWAP,EMC,IRAM,GPU,APE,APE_MASTER,NVDEC,NVENC,NVJPG,SE,VIC03,Fan tegra_pwmfan0,Temp AO,Temp CPU,Temp GPU,Temp PLL,Temp thermal,Power thermal,Power TOT,jetson_clocks,nvp model,rail,tot
2024-06-12 15:26:30.061308,3:11:49.770000,38,87,16,22,0.40545005188785904,0.0851918079298095,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,45.5,43.5,39.0,39.0,40.75,39,2820,OFF,MAXN,"{'POM_5V_CPU': {'volt': 4896, 'curr': 176, 'power': 861, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 859}, 'POM_5V_GPU': {'volt': 4896, 'curr': 8, 'power': 39, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 40}}","{'volt': 4896, 'curr': 576, 'power': 2820, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2854, 'name': 'POM_5V_IN'}"
2024-06-12 15:26:30.459368,3:11:50.270000,36,78,22,11,0.405464862884728,0.0851918079298095,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,45.5,43.5,39.0,39.0,41.25,39,2820,OFF,MAXN,"{'POM_5V_CPU': {'volt': 4896, 'curr': 160, 'power': 783, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 821}, 'POM_5V_GPU': {'volt': 4896, 'curr': 8, 'power': 39, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 39}}","{'volt': 4896, 'curr': 576, 'power': 2820, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2837, 'name': 'POM_5V_IN'}"
2024-06-12 15:26:30.961619,3:11:50.770000,49,53,82,52,0.40574330962586436,0.0851918079298095,0,0.0,13.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,45.5,44.0,39.0,39.0,41.25,116,3696,OFF,MAXN,"{'POM_5V_CPU': {'volt': 4856, 'curr': 320, 'power': 1553, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 1187}, 'POM_5V_GPU': {'volt': 4864, 'curr': 24, 'power': 116, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 77}}","{'volt': 4864, 'curr': 760, 'power': 3696, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 3266, 'name': 'POM_5V_IN'}"
2024-06-12 15:26:31.478694,3:11:51.270000,100,68,46,62,0.411939243316044,0.0851918079298095,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,46.0,44.0,39.0,39.5,41.25,38,3917,OFF,MAXN,"{'POM_5V_CPU': {'volt': 4856, 'curr': 344, 'power': 1709, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 1448}, 'POM_5V_GPU': {'volt': 4856, 'curr': 8, 'power': 38, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 57}}","{'volt': 4856, 'curr': 800, 'power': 3917, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 3591, 'name': 'POM_5V_IN'}"
2024-06-12 15:26:31.976332,3:11:51.770000,100,100,99,100,0.41376099593092547,0.0851918079298095,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,46.5,45.5,40.0,40.5,41.25,38,4561,OFF,MAXN,"{'POM_5V_CPU': {'volt': 4824, 'curr': 568, 'power': 2740, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2094}, 'POM_5V_GPU': {'volt': 4832, 'curr': 8, 'power': 38, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 47}}","{'volt': 4832, 'curr': 944, 'power': 4561, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 4076, 'name': 'POM_5V_IN'}"
2024-06-12 15:26:32.480311,3:11:52.270000,100,100,100,100,0.4152312342201171,0.0851918079298095,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,46.5,46.0,39.5,40.5,41.25,38,4414,OFF,MAXN,"{'POM_5V_CPU': {'volt': 4832, 'curr': 528, 'power': 2551, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2322}, 'POM_5V_GPU': {'volt': 4832, 'curr': 8, 'power': 38, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 42}}","{'volt': 4840, 'curr': 912, 'power': 4414, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 4245, 'name': 'POM_5V_IN'}"
2024-06-12 15:26:32.986219,3:11:52.770000,100,100,100,100,0.4153615709925639,0.0851918079298095,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,46.5,46.0,40.0,40.5,43.0,38,4414,OFF,MAXN,"{'POM_5V_CPU': {'volt': 4832, 'curr': 536, 'power': 2589, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2455}, 'POM_5V_GPU': {'volt': 4832, 'curr': 8, 'power': 38, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 40}}","{'volt': 4840, 'curr': 912, 'power': 4414, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 4329, 'name': 'POM_5V_IN'}"
2024-06-12 15:26:33.500882,3:11:53.270000,100,100,100,100,0.41401771987665403,0.0851918079298095,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,47.0,46.0,40.0,40.5,43.0,38,4769,OFF,MAXN,"{'POM_5V_CPU': {'volt': 4808, 'curr': 608, 'power': 2923, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2689}, 'POM_5V_GPU': {'volt': 4808, 'curr': 8, 'power': 38, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 39}}","{'volt': 4808, 'curr': 992, 'power': 4769, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 4549, 'name': 'POM_5V_IN'}"
2024-06-12 15:26:34.004724,3:11:53.770000,100,100,100,100,0.4167725652942797,0.0851918079298095,0,0.0,3.8,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,47.0,46.5,40.0,41.0,43.5,38,4769,OFF,MAXN,"{'POM_5V_CPU': {'volt': 4800, 'curr': 616, 'power': 2956, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2822}, 'POM_5V_GPU': {'volt': 4808, 'curr': 8, 'power': 38, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 38}}","{'volt': 4808, 'curr': 992, 'power': 4769, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 4659, 'name': 'POM_5V_IN'}"
2024-06-12 15:26:34.472531,3:11:54.270000,100,100,100,100,0.41955407050626947,0.0851918079298095,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,46.5,46.5,40.0,41.0,43.5,38,4769,OFF,MAXN,"{'POM_5V_CPU': {'volt': 4800, 'curr': 616, 'power': 2956, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2889}, 'POM_5V_GPU': {'volt': 4808, 'curr': 8, 'power': 38, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 38}}","{'volt': 4808, 'curr': 992, 'power': 4769, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 4714, 'name': 'POM_5V_IN'}"
2024-06-12 15:26:34.970914,3:11:54.770000,100,100,100,100,0.4223701347109535,0.0851918079298095,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,46.5,46.0,40.0,41.0,43.25,38,4808,OFF,MAXN,"{'POM_5V_CPU': {'volt': 4800, 'curr': 624, 'power': 2995, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2942}, 'POM_5V_GPU': {'volt': 4800, 'curr': 8, 'power': 38, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 38}}","{'volt': 4808, 'curr': 1000, 'power': 4808, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 4761, 'name': 'POM_5V_IN'}"
2024-06-12 15:26:35.471610,3:11:55.270000,100,100,100,100,0.4250864715367199,0.0851918079298095,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,47.0,46.5,40.5,40.5,43.25,38,4808,OFF,MAXN,"{'POM_5V_CPU': {'volt': 4800, 'curr': 624, 'power': 2995, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2968}, 'POM_5V_GPU': {'volt': 4800, 'curr': 8, 'power': 38, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 38}}","{'volt': 4808, 'curr': 1000, 'power': 4808, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 4784, 'name': 'POM_5V_IN'}"
2024-06-12 15:26:35.978968,3:11:55.780000,100,100,100,100,0.42803287251385075,0.0851918079298095,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,47.0,46.0,40.5,41.0,43.25,38,4808,OFF,MAXN,"{'POM_5V_CPU': {'volt': 4800, 'curr': 624, 'power': 2995, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2981}, 'POM_5V_GPU': {'volt': 4808, 'curr': 8, 'power': 38, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 38}}","{'volt': 4808, 'curr': 1000, 'power': 4808, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 4796, 'name': 'POM_5V_IN'}"
2024-06-12 15:26:36.481881,3:11:56.280000,100,100,100,100,0.43087954611206397,0.0851918079298095,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,47.0,46.5,40.5,41.0,43.25,38,4808,OFF,MAXN,"{'POM_5V_CPU': {'volt': 4800, 'curr': 624, 'power': 2995, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2988}, 'POM_5V_GPU': {'volt': 4800, 'curr': 8, 'power': 38, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 38}}","{'volt': 4808, 'curr': 1000, 'power': 4808, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 4802, 'name': 'POM_5V_IN'}"
