time,uptime,CPU1,CPU2,CPU3,CPU4,RAM,SWAP,EMC,IRAM,GPU,APE,APE_MASTER,NVDEC,NVENC,NVJPG,SE,VIC03,Fan tegra_pwmfan0,Temp AO,Temp CPU,Temp GPU,Temp PLL,Temp thermal,Power thermal,Power TOT,jetson_clocks,nvp model,rail,tot
2024-06-12 15:24:46.741186,3:10:06.520000,7,17,8,89,0.4040291835882306,0.08521278878477935,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,45.0,42.5,38.5,38.0,40.25,39,2746,OFF,MAXN,"{'POM_5V_CPU': {'volt': 4904, 'curr': 152, 'power': 745, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 747}, 'POM_5V_GPU': {'volt': 4904, 'curr': 8, 'power': 39, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 39}}","{'volt': 4904, 'curr': 560, 'power': 2746, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2749, 'name': 'POM_5V_IN'}"
2024-06-12 15:24:47.208160,3:10:07.020000,18,28,92,12,0.4042088903502406,0.08521278878477935,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,45.5,43.5,38.5,38.5,40.25,39,3089,OFF,MAXN,"{'POM_5V_CPU': {'volt': 4896, 'curr': 184, 'power': 900, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 823}, 'POM_5V_GPU': {'volt': 4888, 'curr': 8, 'power': 39, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 39}}","{'volt': 4888, 'curr': 632, 'power': 3089, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2919, 'name': 'POM_5V_IN'}"
2024-06-12 15:24:47.740732,3:10:07.520000,86,66,64,64,0.40557150206218445,0.08521278878477935,0,0.0,14.1,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,45.5,44.0,39.0,39.0,41.0,77,3807,OFF,MAXN,"{'POM_5V_CPU': {'volt': 4856, 'curr': 368, 'power': 1787, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 1305}, 'POM_5V_GPU': {'volt': 4856, 'curr': 16, 'power': 77, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 58}}","{'volt': 4856, 'curr': 784, 'power': 3807, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 3363, 'name': 'POM_5V_IN'}"
2024-06-12 15:24:48.203011,3:10:08.020000,85,21,32,96,0.407666764419246,0.08521278878477935,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,45.0,42.5,38.0,38.5,41.0,39,3167,OFF,MAXN,"{'POM_5V_CPU': {'volt': 4888, 'curr': 160, 'power': 821, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 1063}, 'POM_5V_GPU': {'volt': 4888, 'curr': 8, 'power': 39, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 48}}","{'volt': 4888, 'curr': 648, 'power': 3167, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 3265, 'name': 'POM_5V_IN'}"
2024-06-12 15:24:48.705494,3:10:08.520000,78,27,11,96,0.40830956168335863,0.08521278878477935,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,45.5,43.0,38.5,39.0,40.5,38,3468,OFF,MAXN,"{'POM_5V_CPU': {'volt': 4872, 'curr': 224, 'power': 1091, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 1077}, 'POM_5V_GPU': {'volt': 4872, 'curr': 8, 'power': 38, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 43}}","{'volt': 4872, 'curr': 712, 'power': 3468, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 3366, 'name': 'POM_5V_IN'}"
2024-06-12 15:24:49.212027,3:10:09.020000,32,66,93,30,0.4091429271071852,0.08521278878477935,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,45.0,44.0,38.5,38.5,40.5,38,3507,OFF,MAXN,"{'POM_5V_CPU': {'volt': 4872, 'curr': 240, 'power': 1169, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 1123}, 'POM_5V_GPU': {'volt': 4872, 'curr': 8, 'power': 38, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 40}}","{'volt': 4872, 'curr': 720, 'power': 3507, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 3436, 'name': 'POM_5V_IN'}"
2024-06-12 15:24:49.715290,3:10:09.520000,100,100,98,96,0.4117160909632184,0.08521278878477935,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,46.0,45.5,39.0,40.0,42.25,38,4700,OFF,MAXN,"{'POM_5V_CPU': {'volt': 4816, 'curr': 544, 'power': 2619, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 1871}, 'POM_5V_GPU': {'volt': 4816, 'curr': 8, 'power': 38, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 39}}","{'volt': 4816, 'curr': 976, 'power': 4700, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 4068, 'name': 'POM_5V_IN'}"
2024-06-12 15:24:50.281736,3:10:10.020000,100,100,100,100,0.41305105548100685,0.08521278878477935,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,46.0,45.5,39.5,40.0,42.25,38,4414,OFF,MAXN,"{'POM_5V_CPU': {'volt': 4832, 'curr': 536, 'power': 2589, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2230}, 'POM_5V_GPU': {'volt': 4840, 'curr': 8, 'power': 38, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 38}}","{'volt': 4840, 'curr': 912, 'power': 4414, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 4241, 'name': 'POM_5V_IN'}"
2024-06-12 15:24:50.736545,3:10:10.520000,100,100,100,100,0.41352204518143965,0.08521278878477935,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,46.0,45.5,39.0,40.5,42.5,38,4414,OFF,MAXN,"{'POM_5V_CPU': {'volt': 4832, 'curr': 536, 'power': 2589, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2409}, 'POM_5V_GPU': {'volt': 4832, 'curr': 8, 'power': 38, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 38}}","{'volt': 4840, 'curr': 912, 'power': 4414, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 4327, 'name': 'POM_5V_IN'}"
2024-06-12 15:24:51.228699,3:10:11.020000,100,100,100,100,0.4135447553766387,0.08521278878477935,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,46.0,45.5,39.5,40.0,42.5,38,4445,OFF,MAXN,"{'POM_5V_CPU': {'volt': 4832, 'curr': 536, 'power': 2589, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2499}, 'POM_5V_GPU': {'volt': 4832, 'curr': 8, 'power': 38, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 38}}","{'volt': 4840, 'curr': 920, 'power': 4445, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 4386, 'name': 'POM_5V_IN'}"
