time,uptime,CPU1,CPU2,CPU3,CPU4,RAM,SWAP,EMC,IRAM,GPU,APE,APE_MASTER,NVDEC,NVENC,NVJPG,SE,VIC03,Fan tegra_pwmfan0,Temp AO,Temp CPU,Temp GPU,Temp PLL,Temp thermal,Power thermal,Power TOT,jetson_clocks,nvp model,rail,tot
2024-06-06 12:49:16.909368,"1 day, 0:23:22.190000",8,7,5,100,0.3623776981933546,0.44805283360751497,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,37.0,34.0,31.0,31.0,32.75,39,3128,OFF,MAXN,"{'POM_5V_CPU': {'volt': 4888, 'curr': 240, 'power': 1173, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 1218}, 'POM_5V_GPU': {'volt': 4888, 'curr': 8, 'power': 39, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 39}}","{'volt': 4888, 'curr': 640, 'power': 3128, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 3161, 'name': 'POM_5V_IN'}"
2024-06-06 12:49:17.397118,"1 day, 0:23:22.690000",16,30,24,100,0.3622829078133933,0.44805283360751497,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,37.5,34.5,31.5,31.0,33.0,39,3089,OFF,MAXN,"{'POM_5V_CPU': {'volt': 4888, 'curr': 248, 'power': 1212, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 1215}, 'POM_5V_GPU': {'volt': 4888, 'curr': 8, 'power': 39, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 39}}","{'volt': 4888, 'curr': 640, 'power': 3089, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 3125, 'name': 'POM_5V_IN'}"
2024-06-06 12:49:17.895710,"1 day, 0:23:23.190000",13,10,52,67,0.36058655497200226,0.44804138950480416,0,0.0,17.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,37.5,34.5,31.5,31.0,33.0,38,3390,OFF,MAXN,"{'POM_5V_CPU': {'volt': 4872, 'curr': 320, 'power': 1559, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 1387}, 'POM_5V_GPU': {'volt': 4872, 'curr': 8, 'power': 38, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 38}}","{'volt': 4872, 'curr': 696, 'power': 3390, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 3257, 'name': 'POM_5V_IN'}"
2024-06-06 12:49:18.395236,"1 day, 0:23:23.690000",20,52,14,59,0.3604690543968419,0.44804138950480416,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,37.5,36.5,31.5,31.0,33.0,39,3201,OFF,MAXN,"{'POM_5V_CPU': {'volt': 4880, 'curr': 288, 'power': 1405, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 1396}, 'POM_5V_GPU': {'volt': 4880, 'curr': 8, 'power': 39, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 38}}","{'volt': 4880, 'curr': 656, 'power': 3201, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 3229, 'name': 'POM_5V_IN'}"
2024-06-06 12:49:18.905749,"1 day, 0:23:24.190000",44,62,42,91,0.3604828779939196,0.44804138950480416,0,0.0,13.2,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,38.0,35.5,31.5,31.5,33.0,77,3923,OFF,MAXN,"{'POM_5V_CPU': {'volt': 4848, 'curr': 408, 'power': 1977, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 1686}, 'POM_5V_GPU': {'volt': 4848, 'curr': 16, 'power': 77, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 57}}","{'volt': 4856, 'curr': 808, 'power': 3923, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 3576, 'name': 'POM_5V_IN'}"
2024-06-06 12:49:19.394993,"1 day, 0:23:24.690000",31,11,82,30,0.36064481155968686,0.44804138950480416,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,38.0,35.0,31.5,31.0,33.0,39,3128,OFF,MAXN,"{'POM_5V_CPU': {'volt': 4888, 'curr': 280, 'power': 1368, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 1527}, 'POM_5V_GPU': {'volt': 4888, 'curr': 8, 'power': 39, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 48}}","{'volt': 4888, 'curr': 640, 'power': 3128, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 3352, 'name': 'POM_5V_IN'}"
2024-06-06 12:49:19.899168,"1 day, 0:23:25.200000",90,26,44,45,0.36270452752426285,0.44804138950480416,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,38.0,36.0,32.0,32.0,33.0,38,4072,OFF,MAXN,"{'POM_5V_CPU': {'volt': 4848, 'curr': 464, 'power': 2249, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 1888}, 'POM_5V_GPU': {'volt': 4848, 'curr': 8, 'power': 38, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 43}}","{'volt': 4848, 'curr': 840, 'power': 4072, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 3712, 'name': 'POM_5V_IN'}"
2024-06-06 12:49:20.396697,"1 day, 0:23:25.700000",41,16,61,100,0.3639259410660561,0.44804138950480416,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,37.5,35.0,31.5,31.5,33.0,38,3696,OFF,MAXN,"{'POM_5V_CPU': {'volt': 4864, 'curr': 296, 'power': 1439, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 1663}, 'POM_5V_GPU': {'volt': 4864, 'curr': 8, 'power': 38, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 40}}","{'volt': 4864, 'curr': 760, 'power': 3696, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 3704, 'name': 'POM_5V_IN'}"
2024-06-06 12:49:20.899584,"1 day, 0:23:26.200000",51,14,59,98,0.3645914485253678,0.44804138950480416,0,0.0,2.3,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,37.5,34.5,31.5,31.5,33.0,38,3696,OFF,MAXN,"{'POM_5V_CPU': {'volt': 4864, 'curr': 296, 'power': 1439, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 1551}, 'POM_5V_GPU': {'volt': 4864, 'curr': 8, 'power': 38, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 39}}","{'volt': 4864, 'curr': 760, 'power': 3696, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 3700, 'name': 'POM_5V_IN'}"
2024-06-06 12:49:21.396412,"1 day, 0:23:26.700000",61,12,99,50,0.3655512011224761,0.44804138950480416,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,37.5,34.5,31.5,31.0,33.0,38,3546,OFF,MAXN,"{'POM_5V_CPU': {'volt': 4872, 'curr': 288, 'power': 1403, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 1477}, 'POM_5V_GPU': {'volt': 4872, 'curr': 8, 'power': 38, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 38}}","{'volt': 4872, 'curr': 728, 'power': 3546, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 3623, 'name': 'POM_5V_IN'}"
