time,uptime,CPU1,CPU2,CPU3,CPU4,RAM,SWAP,EMC,IRAM,GPU,APE,APE_MASTER,NVDEC,NVENC,NVJPG,SE,VIC03,Fan tegra_pwmfan0,Temp AO,Temp CPU,Temp GPU,Temp PLL,Temp thermal,Power thermal,Power TOT,jetson_clocks,nvp model,rail,tot
2024-06-12 13:21:49.678022,1:07:09.130000,23,96,OFF,OFF,0.34723197279516094,0.08709248265503183,0,0.0,9.8,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,45.5,43.0,39.0,38.5,41.0,39,2514,OFF,5W,"{'POM_5V_CPU': {'volt': 4904, 'curr': 112, 'power': 549, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 530}, 'POM_5V_GPU': {'volt': 4912, 'curr': 8, 'power': 39, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 39}}","{'volt': 4912, 'curr': 512, 'power': 2514, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2506, 'name': 'POM_5V_IN'}"
2024-06-12 13:21:49.948161,1:07:09.630000,27,98,OFF,OFF,0.347198401202258,0.08709248265503183,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,45.5,43.5,39.0,39.0,41.0,39,2628,OFF,5W,"{'POM_5V_CPU': {'volt': 4904, 'curr': 120, 'power': 588, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 559}, 'POM_5V_GPU': {'volt': 4904, 'curr': 8, 'power': 39, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 39}}","{'volt': 4904, 'curr': 528, 'power': 2628, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2567, 'name': 'POM_5V_IN'}"
2024-06-12 13:21:50.354829,1:07:10.130000,74,99,OFF,OFF,0.3472685065874377,0.08704289154328493,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,45.5,43.5,39.0,38.5,41.0,78,2589,OFF,5W,"{'POM_5V_CPU': {'volt': 4904, 'curr': 120, 'power': 588, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 573}, 'POM_5V_GPU': {'volt': 4904, 'curr': 16, 'power': 78, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 58}}","{'volt': 4904, 'curr': 528, 'power': 2589, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2578, 'name': 'POM_5V_IN'}"
2024-06-12 13:21:50.914805,1:07:10.630000,74,100,OFF,OFF,0.34730207818034065,0.08704193786805903,0,0.0,19.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,45.5,43.5,39.0,38.5,41.0,156,2746,OFF,5W,"{'POM_5V_CPU': {'volt': 4896, 'curr': 136, 'power': 665, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 619}, 'POM_5V_GPU': {'volt': 4896, 'curr': 32, 'power': 156, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 107}}","{'volt': 4904, 'curr': 560, 'power': 2746, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2662, 'name': 'POM_5V_IN'}"
2024-06-12 13:21:51.342250,1:07:11.130000,60,96,OFF,OFF,0.347307015179297,0.08704193786805903,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,45.5,43.5,39.0,38.5,41.25,39,2475,OFF,5W,"{'POM_5V_CPU': {'volt': 4912, 'curr': 104, 'power': 510, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 564}, 'POM_5V_GPU': {'volt': 4912, 'curr': 8, 'power': 39, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 73}}","{'volt': 4912, 'curr': 504, 'power': 2475, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2568, 'name': 'POM_5V_IN'}"
2024-06-12 13:21:51.895982,1:07:11.630000,100,65,OFF,OFF,0.3487061606835176,0.08704098419283313,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,46.0,43.5,39.0,39.0,41.25,39,2628,OFF,5W,"{'POM_5V_CPU': {'volt': 4904, 'curr': 144, 'power': 706, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 635}, 'POM_5V_GPU': {'volt': 4904, 'curr': 8, 'power': 39, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 56}}","{'volt': 4904, 'curr': 536, 'power': 2628, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2598, 'name': 'POM_5V_IN'}"
2024-06-12 13:21:52.443940,1:07:12.130000,100,100,OFF,OFF,0.35193298320136734,0.08703907684238132,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,45.5,44.0,39.0,38.5,41.25,39,2628,OFF,5W,"{'POM_5V_CPU': {'volt': 4904, 'curr': 160, 'power': 784, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 709}, 'POM_5V_GPU': {'volt': 4904, 'curr': 8, 'power': 39, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 47}}","{'volt': 4904, 'curr': 536, 'power': 2628, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2613, 'name': 'POM_5V_IN'}"
2024-06-12 13:21:52.923685,1:07:12.630000,100,100,OFF,OFF,0.35331731770871905,0.08703907684238132,0,0.0,6.3,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,46.0,44.0,39.0,38.5,41.25,39,2628,OFF,5W,"{'POM_5V_CPU': {'volt': 4904, 'curr': 160, 'power': 784, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 746}, 'POM_5V_GPU': {'volt': 4904, 'curr': 8, 'power': 39, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 43}}","{'volt': 4904, 'curr': 536, 'power': 2628, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2620, 'name': 'POM_5V_IN'}"
2024-06-12 13:21:53.418401,1:07:13.130000,100,100,OFF,OFF,0.35352072206571933,0.08703907684238132,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,45.5,44.0,41.0,39.0,41.5,78,2628,OFF,5W,"{'POM_5V_CPU': {'volt': 4904, 'curr': 160, 'power': 784, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 765}, 'POM_5V_GPU': {'volt': 4904, 'curr': 16, 'power': 78, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 60}}","{'volt': 4904, 'curr': 536, 'power': 2628, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2624, 'name': 'POM_5V_IN'}"
2024-06-12 13:21:53.919557,1:07:13.630000,100,100,OFF,OFF,0.3547836063987456,0.08703907684238132,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,45.5,43.5,39.5,39.0,41.5,39,2550,OFF,5W,"{'POM_5V_CPU': {'volt': 4904, 'curr': 144, 'power': 706, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 735}, 'POM_5V_GPU': {'volt': 4904, 'curr': 8, 'power': 39, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 49}}","{'volt': 4904, 'curr': 520, 'power': 2550, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2587, 'name': 'POM_5V_IN'}"
