time,uptime,CPU1,CPU2,CPU3,CPU4,RAM,SWAP,EMC,IRAM,GPU,APE,APE_MASTER,NVDEC,NVENC,NVJPG,SE,VIC03,Fan tegra_pwmfan0,Temp AO,Temp CPU,Temp GPU,Temp PLL,Temp thermal,Power thermal,Power TOT,jetson_clocks,nvp model,rail,tot
2024-06-12 13:44:51.125008,1:30:10.590000,16,6,8,100,0.37818201925232114,0.08520611305819803,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,45.5,43.5,39.5,39.0,41.0,39,2820,OFF,CPU4GPU0,"{'POM_5V_CPU': {'volt': 4896, 'curr': 168, 'power': 822, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 836}, 'POM_5V_GPU': {'volt': 4896, 'curr': 8, 'power': 39, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 41}}","{'volt': 4896, 'curr': 576, 'power': 2820, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2828, 'name': 'POM_5V_IN'}"
2024-06-12 13:44:51.286317,1:30:11.090000,18,3,5,100,0.3782392884402144,0.08520611305819803,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,45.5,44.0,39.0,39.0,41.0,39,3240,OFF,CPU4GPU0,"{'POM_5V_CPU': {'volt': 4880, 'curr': 232, 'power': 1132, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 984}, 'POM_5V_GPU': {'volt': 4880, 'curr': 8, 'power': 39, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 40}}","{'volt': 4880, 'curr': 664, 'power': 3240, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 3034, 'name': 'POM_5V_IN'}"
2024-06-12 13:44:51.792610,1:30:11.590000,19,32,28,100,0.37821657824501537,0.08520611305819803,0,0.0,99.2,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,46.0,45.0,39.5,39.5,41.0,155,3884,OFF,CPU4GPU0,"{'POM_5V_CPU': {'volt': 4856, 'curr': 328, 'power': 1592, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 1288}, 'POM_5V_GPU': {'volt': 4856, 'curr': 32, 'power': 155, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 97}}","{'volt': 4856, 'curr': 800, 'power': 3884, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 3459, 'name': 'POM_5V_IN'}"
2024-06-12 13:44:52.312728,1:30:12.090000,40,67,98,45,0.3798882460916248,0.08520611305819803,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,46.5,44.5,39.5,39.5,42.0,38,4033,OFF,CPU4GPU0,"{'POM_5V_CPU': {'volt': 4856, 'curr': 328, 'power': 1631, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 1459}, 'POM_5V_GPU': {'volt': 4856, 'curr': 8, 'power': 38, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 67}}","{'volt': 4856, 'curr': 832, 'power': 4033, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 3746, 'name': 'POM_5V_IN'}"
2024-06-12 13:44:52.800668,1:30:12.590000,100,99,100,100,0.384487554319331,0.08520611305819803,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,46.5,46.0,40.0,40.5,42.0,38,4661,OFF,CPU4GPU0,"{'POM_5V_CPU': {'volt': 4808, 'curr': 560, 'power': 2692, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2075}, 'POM_5V_GPU': {'volt': 4816, 'curr': 8, 'power': 38, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 52}}","{'volt': 4816, 'curr': 968, 'power': 4661, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 4203, 'name': 'POM_5V_IN'}"
2024-06-12 13:44:53.332961,1:30:13.100000,100,100,100,100,0.3848410434446034,0.08520611305819803,0,0.0,20.1,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,47.0,46.0,40.0,40.5,43.0,38,4522,OFF,CPU4GPU0,"{'POM_5V_CPU': {'volt': 4824, 'curr': 552, 'power': 2662, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2368}, 'POM_5V_GPU': {'volt': 4832, 'curr': 8, 'power': 38, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 45}}","{'volt': 4832, 'curr': 936, 'power': 4522, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 4362, 'name': 'POM_5V_IN'}"
2024-06-12 13:44:53.802149,1:30:13.600000,100,100,100,100,0.3864603791022759,0.08520611305819803,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,46.5,46.0,40.5,40.5,43.0,38,4375,OFF,CPU4GPU0,"{'POM_5V_CPU': {'volt': 4832, 'curr': 520, 'power': 2473, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2420}, 'POM_5V_GPU': {'volt': 4840, 'curr': 8, 'power': 38, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 41}}","{'volt': 4840, 'curr': 904, 'power': 4375, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 4368, 'name': 'POM_5V_IN'}"
2024-06-12 13:44:54.304402,1:30:14.100000,100,100,100,100,0.3864732152995623,0.08520611305819803,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,46.5,46.0,40.5,40.5,43.25,38,4375,OFF,CPU4GPU0,"{'POM_5V_CPU': {'volt': 4832, 'curr': 520, 'power': 2512, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2466}, 'POM_5V_GPU': {'volt': 4840, 'curr': 8, 'power': 38, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 39}}","{'volt': 4840, 'curr': 904, 'power': 4375, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 4371, 'name': 'POM_5V_IN'}"
2024-06-12 13:44:54.796136,1:30:14.600000,100,100,100,100,0.3861819323611395,0.08520611305819803,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,47.0,46.5,40.5,40.5,43.25,38,4915,OFF,CPU4GPU0,"{'POM_5V_CPU': {'volt': 4792, 'curr': 624, 'power': 2951, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2708}, 'POM_5V_GPU': {'volt': 4800, 'curr': 8, 'power': 38, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 38}}","{'volt': 4800, 'curr': 1024, 'power': 4915, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 4643, 'name': 'POM_5V_IN'}"
2024-06-12 13:44:55.302823,1:30:15.100000,100,100,100,100,0.3888439621983864,0.08520611305819803,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,47.0,47.0,40.0,41.0,43.75,38,4915,OFF,CPU4GPU0,"{'POM_5V_CPU': {'volt': 4792, 'curr': 624, 'power': 2990, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2849}, 'POM_5V_GPU': {'volt': 4800, 'curr': 8, 'power': 38, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 38}}","{'volt': 4800, 'curr': 1024, 'power': 4915, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 4779, 'name': 'POM_5V_IN'}"
