time,uptime,CPU1,CPU2,CPU3,CPU4,RAM,SWAP,EMC,IRAM,GPU,APE,APE_MASTER,NVDEC,NVENC,NVJPG,SE,VIC03,Fan tegra_pwmfan0,Temp AO,Temp CPU,Temp GPU,Temp PLL,Temp thermal,Power thermal,Power TOT,jetson_clocks,nvp model,rail,tot
2024-06-06 13:06:06.756695,"1 day, 0:40:11.720000",6,7,4,4,0.532385232053762,0.4498571871349212,0,0.0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0.0,38.5,34.5,32.5,32.0,33.5,39,2400,OFF,MAXN,"{'POM_5V_CPU': {'volt': 4920, 'curr': 112, 'power': 551, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 585}, 'POM_5V_GPU': {'volt': 4920, 'curr': 8, 'power': 39, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 39}}","{'volt': 4920, 'curr': 488, 'power': 2400, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2430, 'name': 'POM_5V_IN'}"
2024-06-06 13:06:06.923780,"1 day, 0:40:12.220000",7,16,4,8,0.5322539078815238,0.4498571871349212,0,0.0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0.0,39.0,35.0,32.5,32.0,33.5,39,2898,OFF,MAXN,"{'POM_5V_CPU': {'volt': 4896, 'curr': 192, 'power': 979, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 782}, 'POM_5V_GPU': {'volt': 4896, 'curr': 8, 'power': 39, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 39}}","{'volt': 4896, 'curr': 592, 'power': 2898, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2664, 'name': 'POM_5V_IN'}"
2024-06-06 13:06:07.422038,"1 day, 0:40:12.720000",20,22,24,12,0.5321620797009363,0.4498571871349212,0,0.0,17.8,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0.0,38.5,35.5,32.0,32.5,33.75,78,2672,OFF,MAXN,"{'POM_5V_CPU': {'volt': 4912, 'curr': 160, 'power': 785, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 783}, 'POM_5V_GPU': {'volt': 4904, 'curr': 16, 'power': 78, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 58}}","{'volt': 4912, 'curr': 544, 'power': 2672, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2668, 'name': 'POM_5V_IN'}"
2024-06-06 13:06:07.924455,"1 day, 0:40:13.220000",18,18,15,16,0.5322410716842374,0.4498571871349212,0,0.0,33.5,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0.0,38.5,35.5,32.5,32.0,33.75,78,2824,OFF,MAXN,"{'POM_5V_CPU': {'volt': 4896, 'curr': 184, 'power': 900, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 841}, 'POM_5V_GPU': {'volt': 4896, 'curr': 16, 'power': 78, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 68}}","{'volt': 4896, 'curr': 576, 'power': 2824, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2746, 'name': 'POM_5V_IN'}"
2024-06-06 13:06:08.419973,"1 day, 0:40:13.720000",13,14,14,22,0.532175903298014,0.4498571871349212,0,0.0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0.0,38.5,35.0,32.5,32.0,34.0,39,2475,OFF,MAXN,"{'POM_5V_CPU': {'volt': 4912, 'curr': 128, 'power': 628, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 734}, 'POM_5V_GPU': {'volt': 4912, 'curr': 8, 'power': 39, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 53}}","{'volt': 4912, 'curr': 504, 'power': 2475, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2610, 'name': 'POM_5V_IN'}"
2024-06-06 13:06:08.944618,"1 day, 0:40:14.220000",36,30,37,28,0.5332551312698652,0.4498543261092435,0,0.0,19.8,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0.0,39.0,37.5,33.0,33.0,34.0,116,4111,OFF,MAXN,"{'POM_5V_CPU': {'volt': 4848, 'curr': 400, 'power': 1939, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 1336}, 'POM_5V_GPU': {'volt': 4848, 'curr': 24, 'power': 116, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 84}}","{'volt': 4848, 'curr': 856, 'power': 4111, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 3360, 'name': 'POM_5V_IN'}"
2024-06-06 13:06:09.431698,"1 day, 0:40:14.720000",100,28,30,25,0.5338732435391963,0.4498533724340176,0,0.0,7.1,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0.0,39.5,36.5,32.5,32.5,34.5,77,3435,OFF,MAXN,"{'POM_5V_CPU': {'volt': 4880, 'curr': 288, 'power': 1442, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 1389}, 'POM_5V_GPU': {'volt': 4872, 'curr': 16, 'power': 77, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 80}}","{'volt': 4880, 'curr': 704, 'power': 3435, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 3397, 'name': 'POM_5V_IN'}"
2024-06-06 13:06:09.931186,"1 day, 0:40:15.220000",100,11,13,23,0.5338594199421186,0.4498533724340176,0,0.0,5.7,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0.0,39.5,37.0,32.5,32.5,34.5,77,3435,OFF,MAXN,"{'POM_5V_CPU': {'volt': 4872, 'curr': 304, 'power': 1481, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 1435}, 'POM_5V_GPU': {'volt': 4872, 'curr': 16, 'power': 77, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 78}}","{'volt': 4880, 'curr': 712, 'power': 3435, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 3416, 'name': 'POM_5V_IN'}"
2024-06-06 13:06:10.434010,"1 day, 0:40:15.720000",100,72,13,37,0.5352457292490528,0.4498533724340176,0,0.0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0.0,39.0,37.0,32.5,33.0,34.5,38,3696,OFF,MAXN,"{'POM_5V_CPU': {'volt': 4864, 'curr': 280, 'power': 1361, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 1398}, 'POM_5V_GPU': {'volt': 4864, 'curr': 8, 'power': 38, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 58}}","{'volt': 4864, 'curr': 760, 'power': 3696, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 3556, 'name': 'POM_5V_IN'}"
2024-06-06 13:06:10.932964,"1 day, 0:40:16.220000",100,98,5,17,0.5355370121874756,0.4498533724340176,0,0.0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0.0,39.0,36.5,32.5,33.0,34.5,38,3657,OFF,MAXN,"{'POM_5V_CPU': {'volt': 4864, 'curr': 272, 'power': 1323, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 1360}, 'POM_5V_GPU': {'volt': 4864, 'curr': 8, 'power': 38, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 48}}","{'volt': 4864, 'curr': 752, 'power': 3657, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 3606, 'name': 'POM_5V_IN'}"
